posicao,momento
1.524,37.94487942793255
1.525,37.76219644909257
1.526,37.57951347025255
1.527,37.39683049141257
1.528,37.214147512572545
1.529,37.03146453373257
1.53,36.84878155489255
1.531,36.66609857605257
1.532,36.48341559721255
1.533,36.300732618372564
1.534,36.11804963953255
1.535,35.935366660692566
1.536,35.752683681852545
1.537,35.57000070301257
1.538,35.38731772417255
1.539,35.20463474533257
1.54,35.02195176649255
1.541,34.83926878765257
1.542,34.65658580881255
1.543,34.473902829972566
1.544,34.291219851132546
1.545,34.10853687229257
1.546,33.92585389345255
1.547,33.74317091461257
1.548,33.56048793577254
1.549,33.377804956932565
1.55,33.19512197809255
1.551,33.012438999252566
1.552,32.829756020412546
1.553,32.64707304157257
1.554,32.46439006273255
1.555,32.28170708389256
1.556,32.09902410505255
1.557,31.91634112621257
1.558,31.733658147372545
1.559,31.550975168532567
1.56,31.368292189692546
1.561,31.185609210852565
1.562,31.00292623201255
1.563,30.820243253172567
1.564,30.637560274332543
1.565,30.454877295492565
1.566,30.27219431665255
1.567,30.089511337812564
1.568,29.906828358972547
1.569,29.724145380132565
1.57,29.54146240129255
1.571,29.358779422452564
1.572,29.176096443612547
1.573,28.993413464772562
1.574,28.810730485932545
1.575,28.628047507092564
1.576,28.445364528252547
1.577,28.26268154941257
1.578,28.079998570572542
1.579,27.897315591732564
1.58,27.734484703618627
1.581,27.601431951593838
1.582,27.46837919956903
1.583,27.33532644754424
1.584,27.202273695519423
1.585,27.069220943494642
1.586,26.936168191469825
1.587,26.803115439445044
1.588,26.670062687420227
1.589,26.537009935395442
1.59,26.403957183370622
1.591,26.27090443134584
1.592,26.137851679321024
1.593,26.004798927296243
1.594,25.871746175271426
1.595,25.73869342324664
1.596,25.605640671221828
1.597,25.47258791919704
1.598,25.339535167172226
1.599,25.20648241514744
1.6,25.073429663122628
1.601,24.94037691109784
1.602,24.807324159073026
1.603,24.674271407048238
1.604,24.541218655023425
1.605,24.40816590299864
1.606,24.275113150973826
1.607,24.142060398949038
1.608,24.009007646924225
1.609,23.875954894899436
1.61,23.742902142874623
1.611,23.60984939084984
1.612,23.476796638825025
1.613,23.34374388680024
1.614,23.210691134775423
1.615,23.077638382750635
1.616,22.944585630725822
1.617,22.811532878701037
1.618,22.678480126676224
1.619,22.545427374651442
1.62,22.412374622626622
1.621,22.279321870601837
1.622,22.146269118577024
1.623,22.01321636655224
1.624,21.880163614527426
1.625,21.747110862502637
1.626,21.614058110477853
1.627,21.481005358453036
1.628,21.34795260642825
1.629,21.214899854403438
1.63,21.081847102378653
1.631,20.94879435035384
1.632,20.815741598329055
1.633,20.682688846304234
1.634,20.54963609427945
1.635,20.416583342254636
1.636,20.283530590229855
1.637,20.15047783820504
1.638,20.017425086180253
1.639,19.884372334155437
1.64,19.75131958213065
1.641,19.618266830105835
1.642,19.485214078081054
1.643,19.352161326056237
1.644,19.219108574031452
1.645,19.086055822006635
1.646,18.95300306998185
1.647,18.819950317957037
1.648,18.686897565932252
1.649,18.55384481390744
1.65,18.42079206188265
1.651,18.287739309857837
1.652,18.154686557833053
1.653,18.021633805808236
1.654,17.88858105378345
1.655,17.755528301758638
1.656,17.62247554973385
1.657,17.489422797709036
1.658,17.35637004568425
1.659,17.223317293659434
1.66,17.09026454163465
1.661,16.957211789609836
1.662,16.82415903758505
1.663,16.691106285560235
1.664,16.55805353353545
1.665,16.425000781510633
1.666,16.29194802948585
1.667,16.158895277461035
1.668,16.02584252543625
1.669,15.892789773411433
1.67,15.75973702138665
1.671,15.626684269361835
1.672,15.49363151733705
